ObjectID,IsPublicDomain,ArtistGender
277890,0,0
482256,0,0
776636,0,0
278003,0,0
276059,0,0
275887,0,0
284888,0,0
656710,0,0
676291,0,0
659724,0,0
740592,0,0
377494,0,0
659658,0,0
706171,0,0
483508,0,0
488677,0,0
283515,0,0
427486,0,0
265691,0,0
266319,0,0
720105,0,0
265129,0,0
368588,0,0
272409,0,0
277930,0,0
486421,0,0
382044,0,0
373559,0,0
282915,0,0
481188,0,0
653226,0,0
375263,0,0
285333,0,0
439349,0,0
483301,0,0
387206,0,0
286095,0,0
494306,0,0
387666,0,0
291126,0,0
484985,0,0
270374,0,0
669190,0,0
493918,0,0
777904,0,0
827154,0,0
277909,0,0
707406,0,0
346154,0,0
482288,0,0
433361,0,0
370475,0,0
51560,0,0
260815,0,0
189247,0,0
276776,0,0
211494,0,0
663092,0,0
272576,0,0
658374,0,0
280256,0,0
263490,0,0
260963,0,0
373025,0,0
365130,0,0
660174,0,0
406361,0,0
649569,0,0
342183,0,0
728025,0,0
264140,0,0
744625,0,0
267635,0,0
277831,0,0
732369,0,0
281885,0,0
780912,0,0
460100,0,0
10376,0,0
486348,0,0
835956,0,0
633133,0,0
362814,0,0
264655,0,0
716363,0,0
720118,0,0
773399,0,0
770037,0,0
16418,0,0
197798,0,0
399827,0,0
347708,0,0
775046,0,0
701039,0,0
268725,0,0
299443,0,0
16277,0,0
36302,0,0
277622,0,0
733776,0,0
311490,0,0
685970,0,0
665933,0,0
780795,0,0
288957,0,0
75906,0,0
260101,0,0
405974,0,0
482620,0,0
191199,0,0
265288,0,0
818141,0,0
484304,0,0
775166,0,0
274272,0,0
262873,0,0
700203,0,0
483369,0,0
696431,0,0
692543,0,0
272114,0,0
405523,0,0
664055,0,0
716317,0,0
278400,0,0
834276,0,0
497616,0,0
13074,0,0
734487,0,0
493704,0,0
680850,0,0
270736,0,0
486177,0,0
757763,0,0
487846,0,0
482671,0,0
432201,0,0
781480,0,0
282622,0,0
632246,0,0
493566,0,0
370948,0,0
633011,0,0
394585,0,0
259722,0,0
266179,0,0
785844,0,0
373224,0,0
282499,0,0
775074,0,0
399664,0,0
260042,0,0
394581,0,0
274873,0,0
496504,0,0
264260,0,0
437367,0,0
286409,0,0
285694,0,0
261044,0,0
722494,0,0
746367,0,0
284200,0,0
486111,0,0
282600,0,0
275541,0,0
265521,0,0
267339,0,0
697669,0,0
63665,0,0
359065,0,0
334570,0,0
483308,0,0
266011,0,0
680085,0,0
626216,0,0
282124,0,0
724690,0,0
275014,0,0
276286,0,0
36399,0,0
311390,0,0
489136,0,0
357473,0,0
706146,0,0
284160,0,0
405276,0,0
265037,0,0
265099,0,0
591622,0,0
757814,0,0
13173,0,0
406011,0,0
361432,0,0
459562,0,0
742913,0,0
384140,0,0
669089,0,0
482008,0,0
270465,0,0
274605,0,0
484458,0,0
259782,0,0
20043,0,0
391999,0,0
771813,0,0
639778,0,0
285850,0,0
363577,0,0
271147,0,0
278027,0,0
729536,0,0
262592,0,0
274128,0,0
282587,0,0
727848,0,0
823124,0,0
688503,0,0
270042,0,0
781251,0,0
421529,0,0
406455,0,0
385534,0,0
773413,0,0
262452,0,0
264047,0,0
260672,0,0
264558,0,0
661737,0,0
353972,0,0
270675,0,0
418112,0,0
491600,0,0
287885,0,0
776621,0,0
491342,0,0
491472,0,0
698240,0,0
404676,0,0
838751,0,0
483207,0,0
399670,0,0
702293,0,0
265417,0,0
626195,0,0
271639,0,0
692579,0,0
685339,0,0
36250,0,0
282937,0,0
260917,0,0
337650,0,0
654397,0,0
278230,0,0
266508,0,0
632316,0,0
385814,0,0
754938,0,0
461180,0,0
262029,0,0
724686,0,0
263947,0,0
358522,0,0
425049,0,0
773386,0,0
701847,0,0
277150,0,0
459262,0,0
274523,0,0
785829,0,0
785552,0,0
338512,0,0
486047,0,0
260105,0,0
380782,0,0
693092,0,0
392093,0,0
271047,0,0
823132,0,0
36408,0,0
275651,0,0
367152,0,0
285540,0,0
487968,0,0
259996,0,0
427470,0,0
284398,0,0
707304,0,0
15454,0,0
36325,0,0
360021,0,0
276173,0,0
732163,0,0
384667,0,0
496634,0,0
664040,0,0
261108,0,0
44274,0,0
309674,0,0
734597,0,0
367640,0,0
354583,0,0
702957,0,0
776739,0,0
496738,0,0
664010,0,0
728319,0,0
385805,0,0
11686,0,0
273153,0,0
272576,0,0
277836,0,0
268726,0,0
738428,0,0
284662,0,0
814611,0,0
748729,0,0
488906,0,0
263525,0,0
288353,0,0
694898,0,0
459215,0,0
210283,0,0
362667,0,0
732149,0,0
460097,0,0
269815,0,0
276211,0,0
272974,0,0
272351,0,0
